Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Gasolina 95 E5;Gasolina 95 E10;Gasolina 95 E5 Premium;Gasolina 98 E5;Gasolina 98 E10;Gasóleo A;Gasóleo Premium;Gasóleo B;Gasóleo C;Bioetanol;Biodiésel;Gases licuados del petróleo;Gas natural comprimido;Gas natural licuado;Hidrógeno;Gasóleo de uso marítimo;Rótulo;Tipo;Horario
CORUÑA (A);TEO;TEO;15886;ESTRADA PONTEVEA-AC841 KM,12, 14;D;-8,547056;42,761806;30/10/2023 15:00;1,699;;;;;1,685;1,799;1,421;;;;;;;;;CEPSA;;"L-V: 07:00-23:00; S: 08:00-22:00"
PONTEVEDRA;MOS;PARDELLAS;36311;ESTRADA PORRIÑO-GOMDOMAR,200, ;D;-8,665083;42,156917;30/10/2023 15:51;1,645;;;1,795;;1,595;;;;;;;;;;;EST.SERVICIO  SAN COSME    CELA-MOS;;"L-V: 07:00-22:30; S-D: 07:30-22:30"
PONTEVEDRA;SILLEDA;BANDEIRA;36570;ESTRADA XERAL, 3;D;-8,301694;42,728194;31/10/2023 12:06;1,649;;;1,769;;1,659;1,719;;;;;;;;;;ESTACION DE SERVICIO BANDEIRA;;L-D: 07:00-23:00
CÁCERES;BOHONAL DE IBOR;BOHONAL DE IBOR;10320;EX_118 NAVALMORAL-GUADALUPE km 51,32;N;-5,476694;39,785778;23/10/2023 09:35;1,659;;;1,769;;1,679;;1,409;;;;;;;;;GASOLINERA LOS IBORES;;L: 07:00-22:00
BADAJOZ;ALCONCHEL;ALCONCHEL;06131;EX-107 km 43,5;I;-7,067750;38,516333;01/11/2023 09:24;1,649;;;;;1,669;1,739;1,319;;;;;;;;;CEPSA;;L-D: 06:30-21:30
CÁCERES;CORIA;CORIA;10800;EX-108 km 87.400;D;-6,518028;39,984278;30/10/2023 11:45;;;;;;1,573;;1,209;;;;;;;;;COPAL;;L-D: 24H
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA;06184;EX-209 km 22,5;I;-6,760861;38,921833;26/10/2023 10:24;1,649;;;;;1,689;1,755;1,305;;;;;;;;;CEPSA;;L: 08:00-20:00
CÁCERES;MADROÑERA;MADROÑERA;10210;EX208 km 91,87;I;-5,784444;39,412861;30/10/2023 09:22;1,628;;;1,798;;1,639;1,699;1,429;;;;;;;;;IBERDOEX;;L-D: 07:00-22:00
CASTELLÓN / CASTELLÓ;PEÑÍSCOLA;PEÑISCOLA;12598;EXPLANADA  DEL PUERTO S/N;N;0,406167;40,356417;;;;;;;;;809,000;;;;;;;;;NINGUNO;Suministro a pesqueros;L-V: 09:00-13:00 y 15:00-19:00
ALICANTE;CALPE/CALP;CALPE;03710;EXPLANADA DEL PUERTO PESQUERO S/N;N;0,069162;38,637313;;;;;;;;;1003,000;;;;;;;;;COFRADIA DE PESCADORES DE CALPE;Mixto;"L-V: 08:00-13:30 y 15:30-19:30; S: 09:00-13:00"
BALEARS (ILLES);CAMPOS;RAPITA (SA);07639;EXPLANADA DEL PUERTO, S/N;N;2,951099;39,359178;;1,869;;;;;1,879;;;;;;;;;;;CLUB NAUTICO LA RAPITA;Suministro a barcos deportivos o de recreo;"L-S: 08:00-18:00; D: 08:00-13:00"
BIZKAIA;ZIERBENA;EL PUERTO;48508;EXPLANADA PUNTA CEBALLOS, S/N;N;-3,100528;43,362194;30/10/2023 14:47;1,679;;;;;1,569;;;;;;;;;;;AVIA;;L-D: 24H
NAVARRA;CADREITA;CADREITA;31515;EXTRAMUROS S/N;N;-1,686472;42,217667;30/10/2023 19:00;;;;;;;;1,245;;;;;;;;;0;;L-D: 24H
ZARAGOZA;EJEA DE LOS CABALLEROS;SABINAR (EL);50617;EXTRAMUROS, S/N;D;-1,234562;42,087058;30/10/2023 16:00;;;;;;;;1,190;;;;;;;;;COOP. VIRGEN OLIVA;;L-D: 24H
MURCIA;CARTAGENA;PALMA (LA);30593;F-36 km 7,2;D;-0,968028;37,684028;19/10/2023 11:09;1,679;;;;;1,659;1,739;1,389;;;;0,919;;;;;E.S.EL PALMERAL;;L-D: 07:00-23:00
GIRONA;FIGUERES;FIGUERES;17600;FINAL CALLE NORTE,S/N;I;2,967364;42,269846;30/10/2023 10:12;1,539;;;1,799;;1,549;1,749;;;;;;;;;;PETREM;;L-D: 24H
SEVILLA;PUEBLA DEL RÍO (LA);PUEBLA DEL RIO (LA);41130;FINCA EL REBOSO S/N. (LOS PALACIOS-PINZON km 15);N;-6,040389;37,080389;30/10/2023 09:28;;;;;;1,511;;1,195;;;;;;;;;CEPSA-ARROCEROS B.G.;;L-D: 24H
CÁCERES;COLLADO;COLLADO;10414;FINCA MESILLAS LA VEGA Y LA SALUD (EX-392 km 3-7);I;-5,676000;40,000722;30/10/2023 09:56;;;;;;;;1,165;;;;;;;;;MESILLAS;;L-V: 08:00-15:00
MADRID;ARROYOMOLINOS;ARROYOMOLINOS;28939;FRESADORES, 19;N;-3,906306;40,302111;30/10/2023 23:45;1,668;;;1,778;;1,658;1,698;;;;;;;;;;REPSOL;;L-D: 24H
PALMAS (LAS);SAN BARTOLOMÉ;SAN BARTOLOME;35550;GC-740 a Tinajo km 7,7;N;-13,614111;29,012472;23/10/2023 15:18;1,428;;;1,519;;1,393;1,494;;;;;;;;;;DISA;;L-D: 24H
SANTA CRUZ DE TENERIFE;ADEJE;FAÑABE;38660;General C-822 km 110,14;N;-16,731889;28,104806;31/10/2023 17:12;1,319;;;1,449;;1,299;1,429;;;;;;;;;;DISA FAÑABE;;L-D: 24H
MELILLA;MELILLA;MELILLA;52006;GENERAL POLAVIEJA Nº 2;D;-2,942194;35,286722;31/10/2023 15:00;1,253;;;;;1,264;1,304;;;;;;;;;;SHELL;;L-S: 07:00-02:00
SEVILLA;DOS HERMANAS;DOS HERMANAS;41700;GL CATAELGALLO;N;-5,909611;37,279944;02/11/2023 14:00;1,689;;;1,829;;1,699;1,779;;;;;;;;;;SHELL;;L-D: 24H
MÁLAGA;ESTEPONA;LOMA DEL MONTE;29680;GLORIETA ACCESO POLIGONO INDUSTRIAL, SN;I;-5,174028;36,432139;03/11/2023 08:16;1,749;;1,809;;;1,789;1,859;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
PALMAS (LAS);PALMAS DE GRAN CANARIA (LAS);ALMATRICHE;35010;GLORIETA ACCESO SUR TAMARACEITE, 4;N;-15,468528;28,096139;30/10/2023 10:15;1,339;;;1,469;;1,339;1,449;;;;;;;;;;DISA TAMARACEITE;;L-D: 24H
MADRID;SAN SEBASTIÁN DE LOS REYES;SAN SEBASTIAN DE LOS REYES;28700;GLORIETA ANTONIO GAUDI, ;N;-3,612611;40,557833;03/11/2023 00:00;1,689;;;1,831;;1,689;1,779;;;;;;;;;;BP APADIS;;L-D: 06:00-00:00
SANTA CRUZ DE TENERIFE;SAN CRISTÓBAL DE LA LAGUNA;LA LAGUNA;38203;GLORIETA DEL BRASIL, S/N;N;-16,318556;28,481556;30/10/2023 10:15;1,299;;;1,429;;1,299;1,399;;;;;;;;;;DISA PADRE ANCHIETA;;L-D: 06:00-22:00
CÓRDOBA;LUQUE;LUQUE;14880;GLORIETA DEL CONVENTO, S/N;N;-4,278333;37,553778;30/10/2023 09:17;;;;;;1,522;;1,165;;;;;;;;;CEPSA;;L-D: 24H
ASTURIAS;OVIEDO;CUYENCES;33194;GLORIETA ELEVADA DE LA CORREDORIA SOBRE LA AS-II, SN;D;-5,830056;43,386194;03/11/2023 00:00;1,719;;;1,861;;1,719;1,809;;;;;;;;;;BP CUYENCES;;L-D: 06:30-23:00
MADRID;MADRID;MADRID;28012;GLORIETA EMBAJADORES, 0;D;-3,703139;40,405278;02/11/2023 22:09;1,739;;;;;1,689;1,779;;;;;;;;;;CEPSA;;"L-V: 07:30-22:00; S: 08:00-14:30"
ALICANTE;MONFORTE DEL CID;MONFORTE DEL CID;03670;GLORIETA JORGE JUAN, 86;D;-0,773694;38,376306;30/10/2023 10:48;1,679;;;;;1,679;1,769;1,319;;;;;;;;;BP;;"L-S: 06:00-21:00; D: 07:00-14:00"
MADRID;MADRID;MADRID;28055;GLORIETA JOSE LUIS FERNANDEZ DEL AMO, SN;N;-3,642806;40,485139;02/11/2023 15:00;1,679;;;1,819;;1,639;1,719;;;;;;;;;;SHELL;;L-D: 06:00-00:00
GUADALAJARA;CASAR (EL);COTO (EL);19170;GLORIETA JOSE SOLANO ALLENDE, S/N;N;-3,454778;40,688806;03/11/2023 00:00;1,689;;;1,821;;1,709;1,729;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
MADRID;MÓSTOLES;MOSTOLES;28934;GLORIETA LOS JAZMINES, S/N;N;-3,863972;40,340444;02/11/2023 11:00;;;1,659;1,799;;1,659;1,749;;;;;;;;;;LOS ROSALES;;L-D: 24H
MADRID;MADRID;MADRID;28035;GLORIETA MARIANO SALVADOR MAELLA, S/N;D;-3,722056;40,476028;03/11/2023 06:00;1,729;;1,789;;;1,709;1,789;;;;;;;;;;CEPSA;;L-D: 06:00-23:00
MADRID;MADRID;MADRID;28042;GLORIETA PUERTA DE LOS CARROS, 5;D;-3,590389;40,469250;03/11/2023 04:02;1,569;;;;;1,549;1,569;;;;;;;;;;BALLENOIL;;L-D: 24H
SEVILLA;SEVILLA;SEVILLA;41004;GLORIETA SAN DIEGO, S/N;D;-5,989611;37,379639;02/11/2023 18:25;1,769;;;;;1,779;;;;;;;;;;;CEPSA GLTA.EL CID;;L-S: 07:00-21:00
ASTURIAS;SIERO;LUGONES;33420;GLORIETA URBANIZACION LA FRESNEDA Y  AS-18 (HOY AS-266) KM, 1;D;-5,797194;43,415500;02/11/2023 15:53;1,709;;;1,859;;1,719;1,819;;;;;;;;;;GALP ;;L-D: 06:30-22:30
MADRID;MADRID;MADRID;28019;GLORIETA VALLE DEL ORO, 10;D;-3,730722;40,387861;03/11/2023 00:00;1,709;;;1,869;;1,699;1,779;;;;;;;;;;REPSOL;;L-D: 06:00-22:00
MADRID;MADRID;MADRID;28042;GLORIETA YUCATAN, S/N;D;-3,627222;40,450889;03/11/2023 06:00;1,709;;1,769;;;1,699;1,779;;;;;0,919;;;;;CEPSA;;L-D: 24H
GRANADA;CHURRIANA DE LA VEGA;CHURRIANA DE LA VEGA;18194;GR SO-10  SURRIANA DE LA VEGA, 2;D;-3,651306;37,146639;03/11/2023 00:00;1,639;;1,679;1,759;;1,659;1,759;;;;;;;;;;REPSOL;;L-D: 06:30-23:00
PALMAS (LAS);PÁJARA;COSTA CALMA;35627;GRAL. JANDIA km 64,5;N;-14,230889;28,160389;30/10/2023 10:15;1,429;;;1,509;;1,369;1,504;;;;;;;;;;DISA COSTA CALMA;;L-D: 06:00-22:00
BALEARS (ILLES);PALMA DE MALLORCA;PALMA;07009;GRAN VÍA ASIMA, 23;D;2,667889;39,607194;26/10/2023 06:04;1,689;;;;;1,699;;;;;;;;;;;GALP;;L-D: 24H
BADAJOZ;SANTOS DE MAIMONA (LOS);SANTOS DE MAIMONA (LOS);06230;GUADIANA, 24;D;-6,368667;38,447278;30/10/2023 10:38;1,699;;;;;1,699;1,809;;;;;;;;;;BP;;L-D: 06:30-22:00
HUELVA;ISLA CRISTINA;ISLA-CRISTINA;21410;H 412 km 4.900;I;-7,324222;37,207306;02/11/2023 00:00;1,709;;;1,819;;1,699;1,769;;;;;;;;;;REPSOL;;"L-S: 06:00-23:00; D: 07:00-23:00"
MÁLAGA;MÁLAGA;MALAGA;29003;HEROES DE SOSTOA, 147;I;-4,442694;36,702194;03/11/2023 00:00;1,699;;1,739;;;1,719;1,799;;;;;;;;;;REPSOL;;L-D: 06:00-00:00
TARRAGONA;VALLS;VALLS;43800;HIPER ESCLAT. ARTESANS,S/N POL.IND.VALLS;N;1,268611;41,313694;31/10/2023 12:00;1,499;;;;;1,529;;;;;;;;;;;ESCLATOIL;;L-D: 24H
GIRONA;FIGUERES;FIGUERES;17600;HIPER ESCLAT. AVDA.PAISOS CATALANS, 2;N;2,950972;42,260861;31/10/2023 12:00;1,549;;;;;1,579;;;;;;;;;;;ESCLATOIL;;L-D: 24H
BARCELONA;MALLA;MALLA;08519;HIPER ESCLAT. CTRA. C-17 km 55;N;2,243583;41,882028;31/10/2023 12:00;1,499;;;;;1,529;1,579;;;;;;;;;;ESCLATOIL;;L-D: 24H
GIRONA;TORROELLA DE MONTGRÍ;TORROELLA DE MONTGRI;17257;HIPER ESCLAT. CTRA. GE 641 km 4,225;N;3,177222;42,049472;31/10/2023 12:00;1,539;;;;;1,569;;;;;;;;;;;ESCLATOIL;;L-D: 24H
TARRAGONA;VINYOLS I ELS ARCS;VINYOLS I ELS ARCS;43391;HIPER ESCLAT. CTRA. N-340 km 1.145;N;1,062528;41,079389;31/10/2023 12:00;1,499;;;;;1,529;;;;;;;;;;;ESCLATOIL;;L-D: 24H
MADRID;MADRID;MADRID;28037;HNOS. GARCIA NOBLEJAS, 35;N;-3,634000;40,432806;03/11/2023 10:00;1,689;;1,765;;;1,719;1,829;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
SEVILLA;CORONIL (EL);CORONIL (EL);41760;INDUSTRIA 9 (CASCO URBANO);N;-5,631500;37,079389;30/10/2023 09:49;;;;;;1,574;;1,128;;;;;;;;;SCA SAN ROQUE;;L-D: 06:00-23:00
GIPUZKOA;LEZO;LEZO;20100;IPINTZA KALEA 47;D;-1,879944;43,323611;02/11/2023 09:35;1,559;;;;;1,499;1,729;;;;;;;;;;MERKAOIL;;L-D: 24H
CANTABRIA;SANTANDER;SANTANDER;39011;ISLA DEL OLEO 19 - POL. IND. NUEVA MONTAÑA;D;-3,847056;43,441722;31/10/2023 14:56;1,539;;;;;1,449;;;;;;;;;;;BEROIL;;L-D: 24H
JAÉN;VILLANUEVA DE LA REINA;VILLANUEVA DE LA REINA;23730;J-231 km 0,700;I;-3,905028;38,009333;26/10/2023 10:29;1,563;;;;;1,580;;1,167;;;;;;;;;ACEITES GUADALQUIVIR;;L-D: 06:00-22:00
SEVILLA;VISO DEL ALCOR (EL);VISO DEL ALCOR (EL);41520;JIMENEZ MUÑOZ, 38;N;-5,723278;37,390722;23/10/2023 13:32;;;;;;1,530;;1,190;;;;;;;;;CAIVA;;L-D: 09:00-21:00
ZARAGOZA;VELILLA DE EBRO;VELILLA DE EBRO;50760;JOSE ANTONIO S/N;N;-0,435167;41,375806;31/10/2023 11:56;;;;;;;;1,161;;;;;;;;;COOPERATIVA;;L-D: 24H
PONTEVEDRA;PONTECESURES;PONTECESURES;36640;JOSE NOVO S/N (NACIONAL 550 km 89);I;-8,652861;42,725750;03/11/2023 00:00;1,649;;;1,769;;1,689;1,769;;;;;;;;;;REPSOL;;L-D: 07:00-20:00
MURCIA;LORCA;PURIAS;30813;L-MU-620 LORCA-PULPI km 5,3;D;-1,685806;37,555639;02/11/2023 16:14;1,575;;;1,775;;1,495;;1,315;;;;;;;;;JOSE GARCIA GUILLEN;;"L-S: 06:00-22:00; D: 08:00-22:00"
TARRAGONA;MONTBLANC;MONTBLANC;43400;LA GUARDIA DELS PRATS (C-14 km 38.3);I;1,170500;41,394417;30/10/2023 08:20;;;;;;1,599;;;;;;;;;;;ENERGETICS CONCA S.L.;;"L-V: 08:00-13:00 y 15:00-19:00; S: 08:00-13:00"
ALBACETE;FUENTE-ÁLAMO;FUENTE-ALAMO;02651;LA HIGUERA, 000;D;-1,431579;38,695348;30/10/2023 10:48;;;;;;1,560;;1,180;;;;;;;;;SAN DIONISIO;;L-D: 24H
ZARAGOZA;EJEA DE LOS CABALLEROS;RIVAS;50619;LA MARCUERA, S/N;D;-1,135645;42,170753;30/10/2023 16:00;;;;;;;;1,190;;;;;;;;;COOP. VIRGEN OLIVA;;L-D: 24H
BURGOS;BURGOS;BURGOS;09007;LA RIBERA, S/N;D;-3,639694;42,347500;02/11/2023 23:59;;;;;;1,417;1,520;;;;;;;;;;ASEBUTRA;;L-D: 24H
OURENSE;PEROXA (A);PEROXA (A);32150;LAMA GRANDE, Nº 2;D;-7,798278;42,442722;31/10/2023 12:43;1,569;;;1,759;;1,549;1,649;1,379;;;;;;;;;E.S. PEROXA (A);;L-D: 07:00-23:00
CANTABRIA;VAL DE SAN VICENTE;PESUES;39548;LANSAR, S/N (N-634 km 284,5);I;-4,496616;43,374820;30/10/2023 11:52;1,619;;;1,779;;1,539;1,639;1,369;;;;;;;;;COMBUSCAN;;"L-S: 06:00-23:00; D: 08:00-23:00"
SEVILLA;OLIVARES;OLIVARES;41804;LARGA, S/N;N;-6,154216;37,421821;02/11/2023 14:49;1,549;;;;;1,509;;1,399;;;;;;;;;GASOLINERA OLIVARES;;L-D: 07:00-23:00
CORUÑA (A);ORDES;ORDES;15680;LAS CASILLAS (CN-550 LA CORUÑA-SANTIAGO km 37,645);D;-8,413056;43,066056;30/10/2023 15:53;1,769;;;1,839;;1,679;1,799;1,429;;;;;;;;;ESTACION DE SERVICIO ORDES;;L-D: 07:00-23:00
ASTURIAS;OVIEDO;OVIEDO;33199;LAS MAZAS, 55 (SAN CLAUDIO);I;-5,898833;43,359806;02/11/2023 20:15;1,729;;;;;1,739;1,809;;;;;;;;;;GALP;;L-D: 07:00-22:00
CORUÑA (A);CAMBRE;CECEBRE (SAN SALVADOR);15650;LC-221 km 8,900;N;-8,307056;43,292000;02/11/2023 23:05;1,667;;;1,777;;1,647;1,647;;;;;;;;;;CETANOIL;;L-D: 07:00-23:00
LUGO;PORTOMARÍN;PORTOMARIN;27170;LG ALTO DO VALIÑO;D;-7,629167;42,818889;30/10/2023 11:59;;;;;;1,660;;1,337;;;;;;;;;CAXIGO S COOP GALEGA;;L-V: 10:00-14:00 y 15:30-19:30
BARCELONA;VILANOVA I LA GELTRÚ;VILANOVA I LA GELTRU;08800;LG ENTRE MUELLE DE LA LLOTJA Y PESCADO;N;1,735861;41,215917;;;;;;;;;846,000;;;;;;;;;COFRADIA DE PESCADORS DE VILANOVA I LA GELTRU;Suministro a pesqueros;L-D: 24H
CORUÑA (A);PONTES DE GARCÍA RODRÍGUEZ (AS);PONTES DE GARCIA RODRIGUEZ (AS) (SANTA MARIA);15320;LG ESPIÑAREDO  S/N (C-641 LUGO - FERROL km 487,9);I;-7,945861;43,477861;02/11/2023 12:47;1,659;;;;;;1,599;;;;;;;;;;ESTACION DE SERVICIO PENA DE MALATE;;L-D: 06:00-14:00 y 14:01-22:00
CORUÑA (A);ORTIGUEIRA;ORTIGUEIRA;15330;LG LAGAREA;D;-7,846750;43,678056;02/11/2023 09:38;1,729;;;1,859;;1,719;1,789;1,420;;;;;;;;;ORTEGAL OIL;;L-D: 24H
CORUÑA (A);CARBALLO;CARBALLO;15100;LG. LAS LABRADAS (CP 1905 km 1,606);I;-8,673000;43,204889;02/11/2023 01:26;1,728;;;1,877;;1,678;1,744;1,399;;;;;;;;;SHELL;;L-D: 07:00-23:00
OURENSE;TABOADELA;TABOADELA;32690;LG. PEREIRAS Nº 36 (CTRA. CUMIAL-SALGUEIROS);N;-7,806028;42,269806;30/10/2023 19:52;1,688;;;1,808;;1,658;;;;;;;;;;;OURENSANA DE PETROLEOS SL;;L-D: 08:00-23:00
GIRONA;PORT DE LA SELVA (EL);PORT DE LA SELVA (EL);17489;LLOIA S/N;N;;;;1,889;;;;;1,779;;;;;;;;;;;NINGUNO;Suministro a barcos deportivos o de recreo;L: 09:00-13:00 y 15:00-17:00
SANTA CRUZ DE TENERIFE;VILLA DE MAZO;LODERO;38739;LODERO S/N (AEROPUERTO -MAZO km 5);N;-17,752667;28,619056;31/10/2023 13:34;1,581;;;1,676;;1,584;;;;;;;;;;;DISA;;L-D: 07:00-21:00
BURGOS;VILLANUEVA DE ARGAÑO;VILLANUEVA DE ARGAÑO;09130;LOGROÑO-VIGO km 134,5;D;-3,928167;42,379861;30/10/2023 07:00;1,609;;;1,750;;1,529;1,555;1,260;;;;;;;;;E.S.SAIZ;;L-D: 07:00-22:00
ALMERÍA;EJIDO (EL);NORIAS (LAS);04716;LOMA DEL VIENTO,  Nº 78;D;-2,735917;36,747750;31/10/2023 09:37;1,679;;;;;1,589;1,719;;;;;;;;;;ECONORIAS;;L: 07:00-22:00
CÁDIZ;CONIL DE LA FRONTERA;CONIL DE LA FRONTERA;11140;LONJA DE PESCADO DE CONIL DE LA FRONTERA;N;-6,136889;36,294389;;1,560;;;;;1,620;;1060,000;;;;;;;;;TRAFALGAR OILS;Mixto;L: 10:00-14:00 y 16:00-19:00
BURGOS;BURGOS;BURGOS;09001;LOPEZ BRAVO, 93;D;-3,762083;42,362528;31/10/2023 23:47;1,669;;;1,819;;1,659;1,739;;;;;;;;;;VILLALÓN;;"L-V: 06:30-22:00; S: 08:00-14:30"
SEVILLA;CORRALES (LOS);CORRALES (LOS);41657;LOS CORRALES - M. JARA (CTRA. A-360 km 102,6);I;-4,974944;37,101917;30/10/2023 09:25;1,619;;;;;1,589;;1,180;;;;;;;;;AGLA;;"L-S: 07:00-22:00; D: 08:00-21:00"
ZARAGOZA;MAINAR;MAINAR;50368;LOS PALOMARES S/N;D;-1,309528;41,191778;30/10/2023 10:08;;;;;;;;1,120;;;;;;;;;COOP. MAINAR;;L-D: 24H
PALMAS (LAS);YAIZA;PUERTO CALERO;35570;LOS PANTALANES S/N;N;-13,705333;28,915833;;1,410;;;;;1,380;;;;;;;;;;;MARINA PUERTO CALERO;Suministro a barcos deportivos o de recreo;L-D: 08:15-19:45
MURCIA;TORRE-PACHECO;TORRE-PACHECO;30700;LOS PEREZ S/N;D;-0,943361;37,752167;30/10/2023 13:30;;;;;;1,482;;1,137;;;;;;;;;GREGAL;;L-D: 24H
CORUÑA (A);PONTECESO;CAMPARA (A);15110;LUGAR A CAMPARA - PONTECESO (CP 6805 km 0,180);D;-8,867694;43,279861;30/10/2023 10:08;1,700;;;1,750;;1,590;;1,250;;;;;;;;;E S A CAMPARA;;"L-V: 07:00-22:30; S-D: 08:00-22:30"
CORUÑA (A);MUGARDOS;MUGARDOS;15620;LUGAR A GALLADA-SAN XOAN DE PIÑEIRO, 0;I;-8,205667;43,442306;30/10/2023 08:00;1,649;;;1,799;;1,629;1,689;;;;;;;;;;LA GALLADA;;L-D: 08:00-21:30
CORUÑA (A);CABANA DE BERGANTIÑOS;CABANA;15115;LUGAR A PEDRA-NANTON, S/N;D;-8,882778;43,157306;30/10/2023 07:00;1,669;;;1,869;;1,589;1,739;1,389;;;;;;;;;GASUMA;;"L-V: 07:00-22:00; S-D: 08:00-22:00"
CORUÑA (A);SANTIAGO DE COMPOSTELA;POLVEIRA (A);15888;LUGAR A POLVEIRA, 19;D;-8,450194;42,964222;30/10/2023 09:09;1,679;;1,949;;;1,699;1,769;1,399;;;;;;;;;LAG SIGÜEIRO;;"L-V: 07:00-23:00; S-D: 08:00-22:30"
CORUÑA (A);CARBALLO;CARBALLO;15100;LUGAR A REVOLTA, 20;D;-8,699444;43,204472;02/11/2023 10:00;1,719;;;1,839;;1,659;1,719;1,369;;;;;;;;;ENI;;L-D: 06:00-23:00
CORUÑA (A);CAMBRE;TELVA (A);15181;LUGAR A TELVA, 6;I;-8,360444;43,295444;02/11/2023 11:58;1,549;;;;;1,459;;;;;;;;;;;SUPERFUEL;;L-D: 24H
CORUÑA (A);CERCEDA;TABLILLA;15186;LUGAR AC-413, S/N;I;-8,533417;43,130278;30/10/2023 10:33;1,699;;;1,899;;1,699;1,769;1,399;;;;;;;;;REPSOL;;"L-S: 07:00-22:00; D: 08:00-22:00"
BARCELONA;PRAT DE LLOBREGAT (EL);PRAT DE LLOBREGAT (EL);08820;LUGAR AEROPUERTO DEL PRAT JUNTO PARRILLA DE TAXIS, S/N;D;2,064222;41,299333;03/11/2023 00:00;1,759;;;1,919;;1,709;1,809;;;;;0,989;;;;;PETROCAT;;L-D: 00:00-23:59
OURENSE;PARADA DE SIL;PARADA DE SIL;32740;LUGAR ALBAREDOS, S/N;N;-7,572972;42,380139;30/10/2023 09:49;1,709;;;;;1,699;;;;;;;;;;;GASOLINERA PARADA DE SIL ;;L-D: 08:00-23:00
PALMAS (LAS);SANTA MARÍA DE GUÍA DE GRAN CANARIA;SANTA MARIA DE GUIA;35450;LUGAR ALBERCON DE LA VIRGEN, S/N;N;-15,628028;28,142417;31/10/2023 17:12;1,339;;;1,425;;1,329;1,419;;;;;;;;;;DISA GUIA;;L-D: 06:00-22:00
OURENSE;MACEDA;MACEDA;32700;LUGAR ALTO DO COUSO, S/N;D;-7,675556;42,311944;30/10/2023 10:40;1,639;;;1,799;;1,639;;;;;;;;;;;E.S. ALTO DO COUSO;;L-D: 08:00-20:00
OURENSE;MACEDA;MACEDA;32700;LUGAR ALTO DO COUSO, S/N;I;-7,676111;42,311667;30/10/2023 10:39;1,639;;;1,799;;1,639;1,739;1,419;;;;;;;;;E.S. ALTO DO COUSO;;L-D: 08:00-20:00
ASTURIAS;RIBERA DE ARRIBA;FERREROS;33171;LUGAR ALTO EL CALEYO, 10;I;-5,876611;43,325500;30/10/2023 08:03;1,719;;1,785;;;1,749;1,849;;;;;0,949;;;;;ES EL CALEYU Nº 22905 CEPSA;;L-D: 07:00-23:00
CORUÑA (A);DUMBRÍA;CAMPO DE BERDEOGAS;15151;LUGAR BERDEOGAS, S/N;I;-9,112972;43,032611;02/11/2023 23:00;1,739;;;;;1,719;1,799;1,429;;;;;;;;;REPSOL;;L-D: 07:00-23:00
CORUÑA (A);SAN SADURNIÑO;BIDUEDA;15560;LUGAR BIDUEDA, 14;D;-8,069722;43,527250;30/10/2023 13:46;;;;;;1,708;;;;;;;;;;;GRUPO PENA;;L-V: 09:00-20:00
CORUÑA (A);SANTA COMBA;SANTA COMBA;15840;LUGAR CABREIRA - ARANTON (AC-404 KM. 45.0), 0;I;-8,855306;43,056944;30/10/2023 10:15;1,799;;;1,939;;1,699;;1,339;;;;;;;;;E.S. CABREIRA;;L-D: 07:00-22:00
PONTEVEDRA;CALDAS DE REIS;CALCOTE;36615;LUGAR CALCOTE-GODOS, S/N;I;-8,697111;42,582472;30/10/2023 11:49;1,665;;;1,754;;1,679;1,740;;;;;;;;;;CKM;;L-D: 06:00-00:00
LUGO;XOVE;CAMBA;27877;LUGAR CAMBA - PQ XUANCES, 25;N;-7,537167;43,687417;30/10/2023 10:05;1,649;;;;;1,619;;;;;;;;;;;E.S. CAMBA;;L-S: 08:00-22:00
CORUÑA (A);NARÓN;CAMPO DAS RATAS;15540;LUGAR CAMPO DAS RATAS, S/N;D;-8,215750;43,534194;03/11/2023 08:26;1,679;;;1,799;;1,699;1,799;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
LUGO;LUGO;SOÑARIÑO;27180;LUGAR CARRETERA LU-612 PK 3.86 LG SOÑARIÑO, SAN PEDRO DE SOÑAR, 3,86;D;-7,563778;42,961806;01/11/2023 10:52;1,649;;;;1,759;1,659;1,729;;;;;;;;;;VALCARCE;;D: 24H
PONTEVEDRA;MOAÑA;DOMAIO;36957;LUGAR CARRETERA PO-551, 7;D;-8,670194;42,291500;03/11/2023 00:00;1,669;;;1,799;;1,689;1,779;;;;;;;;;;REPSOL ;;L-D: 07:00-23:00
LUGO;PASTORIZA (A);REGUEIRA (A);27246;LUGAR CARRIZAL, S/N;D;-7,403639;43,285417;30/10/2023 14:59;1,669;;;;;1,649;;1,299;;;;;;;;;O XEIXO,S.COOP GALEGA  OIL ;;L-D: 24H
CÁDIZ;CONIL DE LA FRONTERA;CONIL DE LA FRONTERA;11140;LUGAR CASA DE POSTAS, 11;D;-6,072500;36,295167;30/10/2023 09:30;1,540;;;;;1,550;;1,190;;;;;;;;;CEPSA;;L-S: 09:00-13:30 y 16:00-18:30
